1,"The volume of ""Maru-chan Kyodai Genka"" ""Maru-chan is still in the mood for meow""","January 7, 1990"
2,"The volume of ""The Tutor Has Come"" ""Buy Maru-chan Alarm Clock""","January 14, 1990"
3,"The volume of ""Home Visiting Today"" ""Kiza bastard of the creature clerk""","January 21, 1990"
4,"Volume of ""Practicing Maru-chan Bicycle""","January 28, 1990"
5,"The volume of ""Getting a Maru-chan Award Certificate"" ""Maru-chan Kaze wo Hiru""","February 4, 1990"
6,"""Maru-chan and the Dog Hiro"" volume","February 11, 1990"
7,"""Everyone Goes to Eat French Food"" Volume ""Maru-chan Doesn't Like Marathons""","February 18, 1990"
8,"""Sad Valentine's Day"" volume ""Hanawa-kun participates in the Children's Uta Gassen"" volume","February 25, 1990"
9,"""Practicing the Maru-chan Flute"" volume ""I want to eat snow"" volume","March 4, 1990"
10,"""Maru-chan Goes to Shinseki's House Far Away"" volume","March 11, 1990"
11,"The volume of ""Prefectural citizens who are busy with evacuation drills"" ""Receiving a Maru-chan communication book""","March 18, 1990"
12,"Maboroshi's ""Tsuchinoko Co., Ltd."" volume ""Maru-chan likes to prepare for excursions""","March 25, 1990"
13,"Volume of ""Going on a Maru-chan Excursion""","April 1, 1990"
14,"The volume of ""Longing Nosebleeds"" and ""The Answering Machine for Two""","April 8, 1990"
15,"""Maruo-kun Class Committee Election Is Finally Running"" volume","April 15, 1990"
16,"The volume of ""Maru-chan becomes a cecum"" ""Maru-chan fortune telling""","April 22, 1990"
17,"The volume of ""Maru-chan Little Bird Wants"" ""Holding Maru-chan's Birthday Party""","April 29, 1990"
18,"""Mother's Treasure"" volume ""Maru-chan Midnight Banquet"" volume","May 6, 1990"
19,"""Mother's Day"" volume","May 13, 1990"
20,"The volume of ""Oriental Boy of the Moon"" ""Yuutsuna Visiting Day""","May 20, 1990"
21,"The volume of ""Going to the Maru-chan Gakugeikai""","May 27, 1990"
22,"""Maru-chan Bunkyo"" volume ""I love self-study time"" volume","June 3, 1990"
23,"""Maruchan's Town is a Great Flood"" volume","June 10, 1990"
24,"The volume of ""Maru-chan tooth decay hurts"" ""Oh physical examination"" volume","June 17, 1990"
25,"Volume of ""Maru-chan Gets a Stomach Ache at School""","June 24, 1990"
26,"Volume of ""Pool Biraki""","July 1, 1990"
27,"Volume of ""Tanabata Wishes""","July 8, 1990"
28,"""Maru-chan's Umbrella Buy"" Volume ""Maru-chan's Summer Memories"" Volume","July 15, 1990"
29,"The volume of ""Maru-chan's house bath broke"" ""O-chan's magic card"" volume","July 22, 1990"
